;Cuerda 3;Cuerda 4
1;4;8
2;4;7
3;3;47
4;5;20
5;4;6
6;10;32
7;7;26
8;6;15
9;12;35
10;16;31
11;13;38
12;14;17
13;9;13
14;15;73
15;14;24
16;8;40
17;20;20
18;19;19
19;25;11
20;27;19
21;30;7
22;29;18
23;21;36
24;23;12
25;41;8
26;25;7
27;24;25
28;7;23
29;32;18
30;30;55
31;26;32
32;29;35
33;46;25
34;34;40
35;36;16
36;18;13
37;26;16
38;37;35
39;22;13
40;32;52
41;29;9
42;44;12
43;48;14
44;36;53
45;35;30
46;45;49
47;63;90
48;50;75
49;43;48
50;33;47
51;10;11
52;13;15
53;9;14
54;11;12
55;8;7
56;26;10
57;30;39
58;10;22
59;16;23
60;10;43
61;14;54
62;23;21
63;12;34
64;15;26
65;20;28
66;38;28
67;40;21
68;13;35
69;14;21
70;16;58
71;19;29
72;24;55
73;27;22
74;15;16
75;18;17
76;30;13
77;17;19
78;33;29
79;40;19
80;18;28
